Country,0.0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5
Belgium,15,15,15,15,15,15,15,15,16,16,16
Bulgaria,29,29,29,29,29,29,29,29,29,29,29
Czechia,11,11,11,11,12,12,12,12,12,12,12
Denmark,5,5,5,5,5,5,5,5,5,5,5
Germany,13,13,13,12,11,11,11,11,11,10,10
Estonia,6,6,6,6,6,6,6,7,7,7,7
Ireland,12,12,12,13,13,13,13,13,14,14,14
Greece,27,27,27,27,27,27,27,27,27,27,27
Spain,25,25,25,25,25,25,25,25,25,25,25
France,18,18,18,18,17,17,17,16,15,15,15
Croatia,14,14,14,14,14,14,14,14,13,13,13
Italy,20,20,20,19,19,19,19,19,19,19,19
Cyprus,28,28,28,28,28,28,28,28,28,28,28
Latvia,9,9,8,8,8,8,8,8,8,8,8
Lithuania,26,26,26,26,26,26,26,26,26,26,26
Luxembourg,8,8,9,9,9,9,10,10,10,11,11
Hungary,19,19,19,20,20,20,20,20,20,20,20
Malta,22,22,22,22,22,22,22,22,22,22,23
Netherlands,16,16,16,16,16,16,16,17,17,17,17
Austria,7,7,7,7,7,7,7,6,6,6,6
Poland,17,17,17,17,18,18,18,18,18,18,18
Portugal,24,24,24,24,24,24,24,24,24,24,24
Romania,23,23,23,23,23,23,23,23,23,23,22
Slovenia,10,10,10,10,10,10,9,9,9,9,9
Slovakia,21,21,21,21,21,21,21,21,21,21,21
Finland,4,4,4,4,4,4,4,4,4,4,4
Sweden,3,3,3,3,3,3,3,3,3,3,3
Iceland,2,2,2,2,2,2,2,2,2,2,2
Norway,1,1,1,1,1,1,1,1,1,1,1
